step,material,param,U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243,Am244,Am242m,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cm248,Cm249,Bk249,Bk250,Cf249,Cf250,Cf251,Kr83,Rh103,Rh105,Ag109,I135,Xe131,Xe135,Cs133,Cs134,Cs135,Cs137,Ba140,La140,Nd143,Nd145,Pm147,Pm148,Pm149,Pm148m,Sm147,Sm149,Sm150,Sm151,Sm152,Eu153,Eu154,Eu155,Eu156,Gd152,Gd154,Gd155,Gd156,Gd157,Gd160,lost,total
1,UO2_4p55,A,9.66733e+07,4.34229e+06,65959,7.31008e+11,1.4385e+07,3.29522e+14,0.000482163,1768.71,2.9005e+08,2.54909e+14,0.0010048,9265.82,6.25954e+07,437704,779433,0.0151657,888.984,3.99406,542.712,0.000208021,0.0167646,0.00117025,1.64556,8.29074e-07,3.49231e-05,1.12528e-11,2.27495e-15,1.30627e-23,0,0,0,0,0,0,0,0,0,7.22843e+12,0,4.63222e+13,0,2.33925e+13,0,8.02686e+06,85490.3,1.45242e+10,1.09542e+13,6.60928e+12,0,0,8.73095e+09,7.86405e+08,6.40945e+12,9.93685e+07,0.000270772,0,0,2.30682e+08,0,0,864943,5.51997e+08,2.64482e+10,8.57615e-13,0,0,0,0,0,0,4.28219e+15
1,UO2_4p55,ADENS,7.91543e-06,0.00101955,5.15201e-07,4.5056e-09,0.0214357,4.89994e-09,2.47646e-17,1.26473e-09,5.60686e-13,5.48387e-07,9.57768e-22,2.71019e-13,5.03333e-07,9.57781e-10,3.71473e-12,1.89674e-15,1.67625e-19,5.76257e-16,3.30786e-19,5.11318e-19,6.44212e-24,5.50317e-20,2.44621e-19,8.04642e-24,2.10818e-22,3.19004e-26,3.61156e-30,6.79632e-35,0,0,0,0,0,0,0,1.21133e-08,3.19797e-09,9.72458e-09,1.04913e-09,1.1579e-08,1.23403e-08,8.13463e-09,2.71382e-08,5.52871e-12,6.55784e-08,1.45661e-07,1.27551e-07,1.01274e-08,8.33261e-09,8.59108e-08,7.6391e-09,3.85465e-12,1.29439e-08,3.74645e-12,9.5725e-12,1.13132e-08,1.35456e-09,6.92424e-09,6.70711e-09,2.18314e-09,2.47884e-12,8.75026e-10,3.66843e-10,3.0891e-17,7.70359e-16,8.59154e-13,3.91577e-11,1.36555e-10,1.47036e-11,1.38341e-13,0.0674044
1,UO2_4p55,BURNUP,0.100007
1,UO2_4p55,GSRC,9.65802e+06,5.27649e+06,5963.54,1.19091e+12,1.0459e+06,2.25348e+14,0,1378.14,2.67229e+08,4.11486e+14,0.000112771,959.446,2.74681e+06,42644.2,19.4047,0.00126609,310.048,2.51342,0,0.000193671,0.0366367,0,0.164852,1.02386e-06,2.88789e-06,1.45776e-11,0,1.09638e-23,0,0,0,0,0,0,0,0,0,1.79767e+12,0,6.17325e+13,0,2.32822e+13,0,1.79578e+07,0,84240.3,7.76506e+12,1.43036e+13,0,0,465715,4.6224e+08,0,3.33729e+08,0,0,0,335891,0,0,1.71413e+06,4.70069e+08,3.26729e+10,0,0,0,0,0,0,0,3.6216e+15
1,UO2_4p55,H,7.51789e-05,3.20907e-06,4.82502e-08,0.0384284,9.85336e-06,24.1986,4.5652e-17,1.37996e-09,3.86116e-05,16.8914,9.43844e-16,8.29649e-09,5.25641e-05,3.68245e-07,6.68741e-10,1.21054e-14,2.77396e-11,3.581e-12,3.93886e-11,1.81021e-16,2.97801e-15,1.38274e-17,1.63832e-12,8.19264e-19,3.30063e-17,1.01701e-23,2.00935e-27,1.12026e-35,0,0,0,0,0,0,0,0,0,0.267238,0,14.4228,0,2.10887,0,2.21004e-06,1.03961e-09,0.000418515,0.863491,2.99417,0,0,8.66793e-05,0.000164169,0.73299,3.43826e-05,1.00233e-16,0,0,7.31686e-07,0,0,2.10441e-07,1.09904e-05,0.00714975,3.02702e-25,0,0,0,0,0,0,1484.03
1,UO2_4p55,MDENS,0.00307626,0.397935,0.000201943,1.77356e-06,8.47353,1.94511e-06,9.70701e-15,4.9784e-07,2.21639e-10,0.000217689,3.75416e-19,1.07133e-10,0.000199804,3.81796e-07,1.48692e-09,7.62401e-13,6.76571e-17,2.3067e-13,1.32961e-16,2.06378e-16,2.6109e-21,2.21203e-17,9.83262e-17,3.24769e-21,8.54409e-20,1.29818e-23,1.47572e-27,2.78837e-32,0,0,0,0,0,0,0,1.66782e-06,5.46472e-07,1.69398e-06,1.89729e-07,2.59398e-06,2.6825e-06,1.82233e-06,5.98936e-06,1.22938e-09,1.46909e-05,3.31149e-05,2.96339e-05,2.3529e-06,1.97742e-06,2.06734e-05,1.86365e-06,9.468e-10,3.20089e-06,9.20248e-10,2.33533e-09,2.7976e-06,3.37213e-07,1.7353e-06,1.69202e-06,5.5438e-07,6.33587e-10,2.25106e-07,9.49847e-08,7.79299e-15,1.96901e-13,2.21026e-10,1.01387e-08,3.55838e-08,3.90483e-09,0,10.0696
1,UO2_4p55,SF,0.00164345,0.000312645,5.93631e-05,0,785.421,0,0,0,0,0,8.2394e-13,1.72344e-05,0.000194046,0.0249491,0,8.34115e-08,0,1.71744e-11,0,7.69679e-15,0,0,1.00379e-07,0,4.81939e-11,0,5.94672e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785.449
1,UO2_4p55,VOLUME,136.509
1,UO2_4p55_ING,TOX,4.73699,0.204088,0.00310007,555.566,0.647325,8897.09,8.19678e-12,0.000194558,0.263946,203928,8.7418e-11,0.00213114,15.6488,0.109426,0.00374128,3.63977e-09,7.55636e-08,7.98811e-07,1.62814e-07,4.16043e-11,7.7117e-12,2.22347e-10,1.97467e-08,1.24361e-13,4.19078e-12,2.36309e-18,4.7774e-22,2.48191e-30,0,0,0,0,0,0,0,0,0,2674.52,0,43079.7,0,0,0,0.15251,0.000170981,188.815,28480.9,13218.6,0,0,2.27005,2.12329,6345.35,0.168926,1.32678e-11,0,0,0.0226068,0,0,0.00172989,0.176639,58.1861,3.51622e-20,0,0,0,0,0,0,1.18761e+06
1,UO2_4p55_INH,TOX,908.729,36.9095,0.573843,1388.92,115.08,7908.53,3.85731e-09,0.0884354,1.01518,254909,4.01922e-08,1.01924,7511.45,52.5245,1.7927,1.66823e-06,7.64526e-08,0.000383429,1.08542e-05,1.997e-08,6.20289e-11,1.07663e-07,9.70878e-06,5.72061e-11,1.99062e-09,1.11403e-15,2.22945e-19,1.17564e-27,0,0,0,0,0,0,0,0,0,2529.95,0,14823.1,0,0,0,0.160537,0.000735217,566.444,63534.3,7270.21,0,0,43.6547,1.73009,4678.9,0.5664,2.59941e-09,0,0,0.922727,0,0,0.045842,3.80878,89.924,1.62947e-17,0,0,0,0,0,0,881928
